,0
945,-4.154828267769305
946,-5.027540371380461
947,-4.666095795657131
948,-3.69064994153483
949,-5.103157149365163
950,-3.568731258477275
951,-3.52508170861932
952,-4.3404915994328945
953,-3.006833643862271
954,-3.467244839503796
955,-3.434031646237779
956,-3.791823576667826
957,-4.248903524826349
958,-2.153791219272421
959,-1.984005337749647
960,-2.5824128331703866
961,-2.340620280412895
962,-2.4149548460078556
963,-1.3167693447522422
964,-1.5920910991720607
965,-0.8632750507374405
966,-2.53683716212135
967,-0.4077398085553171
968,-1.8874129503969534
969,-0.8776803484276181
970,0.6404140540836101
971,2.1136026388624405
972,-3.0708784773835567
973,-2.2303630619519477
974,-2.6182507909096158
975,-2.419684001318923
976,-1.3516211662951403
977,-3.7319843908871
978,-3.2434046769644898
979,-3.624026788868841
980,-4.658041445143054
981,-3.721551649131183
982,-3.26333656864768
983,-3.433769548625386
984,-4.297620802504714
985,-4.263871637836634
986,-4.090250629140918
987,-3.904889979711741
988,-4.243742319874187
989,-3.1871230672913384
990,-4.253925491108983
991,-4.103091451652497
992,-3.84881575935899
